"MADON","MAMH","GIA","TRONGLUONG","TONGTIEN","SOLUONGDAT","KENHBANHANG","QUY","THUTRONGTUAN","BANG","LOAICUAHANG","MACUAHANG"
"13949","5370",53.9,1550,49,1,"Truc tuyen",4,"Friday","SP","Truc tuyen","OL_28"
"1395","5410",59.9,7000,59.9,1,"Truc tuyen",2,"Thursday","SP","Truc tuyen","OL_28"
"13950","9082",34.97,263,69.94,2,"Tai cua hang",2,"Saturday","SP","Vat ly","100"
"13951","546",39.99,350,39.99,1,"Tai cua hang",1,"Saturday","MG","Vat ly","20"
"13952","16756",149.8,250,149.8,1,"Tai cua hang",2,"Friday","SP","Vat ly","14"
"13953","15890",489,350,489,1,"Tai cua hang",4,"Friday","DF","Vat ly","83"
"13954","15905",99.99,1200,99.99,1,"Tai cua hang",2,"Friday","SP","Vat ly","95"
"13955","7360",122.99,400,122.99,1,"Truc tuyen",4,"Sunday","SP","Truc tuyen","OL_29"
"13956","10101",27.9,150,27.9,1,"Tai cua hang",1,"Sunday","SP","Vat ly","16"
"13957","10525",29.5,800,30,1,"Tai cua hang",4,"Tuesday","RJ","Vat ly","29"
"13958","11258",99.99,6050,89.99,1,"Tai cua hang",4,"Thursday","SP","Vat ly","14"
"13959","2542",75,750,75,1,"Truc tuyen",3,"Wednesday","RJ","Truc tuyen","OL_15"
"1396","13888",2285.5,14813,2350,1,"Tai cua hang",3,"Monday","SP","Vat ly","4"
"13960","20347",49,150,49,1,"Tai cua hang",4,"Saturday","SP","Vat ly","71"
"13960","594",22.99,150,22.99,1,"Tai cua hang",4,"Saturday","DF","Vat ly","27"
"13961","17989",151.9,4338,144,1,"Truc tuyen",2,"Thursday","MG","Truc tuyen","OL_12"
"13962","11841",27.2,1200,27.2,1,"Truc tuyen",2,"Monday","SP","Truc tuyen","OL_28"
"13963","3824",134.99,1150,134.99,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_24"
"13964","15538",29.99,150,29.98,1,"Tai cua hang",2,"Monday","PE","Vat ly","44"
"13965","14504",249.99,6300,249.99,1,"Tai cua hang",4,"Thursday","GO","Vat ly","54"
"13966","13185",219.9,1800,219.9,1,"Tai cua hang",3,"Wednesday","GO","Vat ly","54"
"13967","6559",75.9,3180,75.9,1,"Truc tuyen",2,"Thursday","PR","Truc tuyen","OL_7"
"13968","15181",85,3100,85,1,"Truc tuyen",4,"Tuesday","PR","Truc tuyen","OL_7"
"13969","9205",56.89,434,56.89,1,"Truc tuyen",2,"Saturday","ES","Truc tuyen","OL_30"
"1397","18216",69.99,138,139.98,2,"Tai cua hang",3,"Sunday","MG","Vat ly","81"
"13970","7879",20,200,20,1,"Tai cua hang",4,"Saturday","SP","Vat ly","16"
"13971","12277",1689,13825,1689,1,"Tai cua hang",2,"Monday","MG","Vat ly","96"
"13972","3264",89.99,10800,89.99,1,"Tai cua hang",2,"Friday","RJ","Vat ly","51"
"13973","16636",70.74,350,70.74,1,"Truc tuyen",2,"Sunday","SP","Truc tuyen","OL_28"
"13974","3677",127.9,4117,127.9,1,"Tai cua hang",2,"Monday","SP","Vat ly","61"
"13975","17794",196.8,1650,196.8,1,"Tai cua hang",3,"Tuesday","SP","Vat ly","12"
"13976","17776",49.9,1100,109.8,2,"Tai cua hang",4,"Saturday","DF","Vat ly","1"
"13977","14243",69.9,1900,69.9,1,"Truc tuyen",3,"Thursday","RJ","Truc tuyen","OL_21"
"13978","9285",85,1700,75,1,"Tai cua hang",1,"Friday","SP","Vat ly","7"
"13979","3835",119.9,3100,119.9,1,"Truc tuyen",2,"Monday","SP","Truc tuyen","OL_5"
"1398","18737",349.9,500,349.9,1,"Tai cua hang",4,"Wednesday","SP","Vat ly","36"
"13980","14048",78,8900,78,1,"Tai cua hang",2,"Monday","MG","Vat ly","84"
"13981","1090",71,150,72,1,"Tai cua hang",1,"Sunday","GO","Vat ly","26"
"13981","19055",74.9,107,74.9,1,"Tai cua hang",1,"Sunday","SP","Vat ly","14"
"13982","3673",52.99,800,264.95,5,"Tai cua hang",3,"Saturday","SP","Vat ly","80"
"13983","20187",149.9,1700,149.9,1,"Truc tuyen",1,"Sunday","SP","Truc tuyen","OL_28"
"13984","7994",349.99,850,349.99,1,"Tai cua hang",4,"Saturday","SP","Vat ly","38"
"13985","16374",89,100,89,1,"Tai cua hang",1,"Saturday","ES","Vat ly","45"
"13986","1720",44.9,850,44.9,1,"Tai cua hang",1,"Monday","GO","Vat ly","54"
"13987","3887",72.99,7500,74.99,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_28"
"13987","6782",169.9,3200,169.9,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_28"
"13988","9563",56.99,400,56.99,1,"Tai cua hang",2,"Saturday","RJ","Vat ly","29"
"13989","5623",90,750,90,1,"Tai cua hang",3,"Tuesday","SP","Vat ly","36"
"1399","4379",189.9,1050,189.9,1,"Tai cua hang",4,"Tuesday","SP","Vat ly","14"
"13990","20085",18.99,700,37.98,2,"Tai cua hang",4,"Sunday","BA","Vat ly","33"
"13991","15908",22.9,300,22.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","47"
"13992","9340",199.9,3450,199.9,1,"Truc tuyen",2,"Tuesday","SP","Truc tuyen","OL_28"
"13993","11258",99.99,6050,89.99,1,"Tai cua hang",4,"Wednesday","SP","Vat ly","14"
"13994","11457",49.9,2625,49.9,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"13995","7360",122.99,400,122.99,1,"Tai cua hang",1,"Sunday","BA","Vat ly","40"
"13996","20170",118.8,560,119.4,1,"Tai cua hang",2,"Saturday","SP","Vat ly","11"
"13997","17260",13.24,200,13.98,1,"Tai cua hang",2,"Wednesday","SP","Vat ly","91"
"13998","6182",15.95,145,18.9,1,"Tai cua hang",3,"Saturday","SP","Vat ly","91"
"13999","15820",94.9,1150,94.9,1,"Tai cua hang",2,"Sunday","SP","Vat ly","11"
"14","874",24.89,150,74.67,3,"Tai cua hang",4,"Wednesday","MG","Vat ly","3"
"140","4386",53.9,1650,59.9,1,"Tai cua hang",4,"Wednesday","SP","Vat ly","38"
"1400","16579",219,600,219,1,"Tai cua hang",4,"Monday","SP","Vat ly","18"
"14000","19066",95,1400,95,1,"Truc tuyen",1,"Monday","PE","Truc tuyen","OL_19"
"14001","6768",53.9,1500,53.9,1,"Truc tuyen",2,"Wednesday","SP","Truc tuyen","OL_5"
"14002","610",39.9,2800,39.9,1,"Truc tuyen",2,"Sunday","SP","Truc tuyen","OL_17"
"14003","11155",125,300,165,1,"Tai cua hang",3,"Saturday","SP","Vat ly","43"
"14004","15157",80,700,80,1,"Tai cua hang",1,"Sunday","MG","Vat ly","86"
"14005","12375",105.26,160,190,2,"Tai cua hang",2,"Monday","PE","Vat ly","42"
"14006","12642",148,850,148,1,"Tai cua hang",4,"Monday","SP","Vat ly","18"
"14007","20186",659.99,13450,659.99,1,"Truc tuyen",3,"Tuesday","RJ","Truc tuyen","OL_21"
"14008","3170",100,1050,100,1,"Tai cua hang",2,"Sunday","SP","Vat ly","36"
"14009","19564",129.9,900,129.9,1,"Tai cua hang",3,"Saturday","MG","Vat ly","84"
"1401","279",59.9,3890,54.9,1,"Tai cua hang",2,"Wednesday","ES","Vat ly","45"
"14010","42",47.9,200,47.9,1,"Tai cua hang",1,"Tuesday","SP","Vat ly","75"
"14011","15414",58.9,1750,48.9,1,"Tai cua hang",2,"Saturday","RJ","Vat ly","39"
"14012","16090",84.99,450,84.99,1,"Tai cua hang",2,"Sunday","SP","Vat ly","16"
"14013","5064",56.35,663,55.2,1,"Tai cua hang",2,"Monday","SP","Vat ly","2"
"14014","10188",281.89,800,281.89,1,"Tai cua hang",1,"Saturday","SP","Vat ly","16"
"14015","2935",129.8,7000,129.8,1,"Truc tuyen",4,"Friday","RS","Truc tuyen","OL_18"
"14016","13021",105,4800,105,1,"Tai cua hang",1,"Thursday","SP","Vat ly","14"
"14017","11525",79.9,650,89.9,1,"Tai cua hang",1,"Thursday","SP","Vat ly","16"
"14018","18877",45.9,800,45.9,1,"Tai cua hang",4,"Thursday","SP","Vat ly","55"
"14019","13805",69.9,2600,75,1,"Tai cua hang",4,"Saturday","SP","Vat ly","16"
"1402","13367",85.6,233,84.3,1,"Tai cua hang",3,"Thursday","SP","Vat ly","12"
"14020","14109",16,300,16,1,"Tai cua hang",2,"Saturday","MG","Vat ly","20"
"14021","17171",164,850,129,1,"Tai cua hang",1,"Saturday","SP","Vat ly","41"
"14022","347",110.32,150,110.32,1,"Tai cua hang",2,"Tuesday","SP","Vat ly","56"
"14023","4582",53.9,1750,119.8,2,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_28"
"14024","8798",349.9,900,349.9,1,"Tai cua hang",4,"Tuesday","SP","Vat ly","21"
"14025","15142",37.9,250,37.9,1,"Tai cua hang",2,"Saturday","SP","Vat ly","34"
"14026","6247",29.9,300,59.8,2,"Tai cua hang",3,"Wednesday","SP","Vat ly","16"
"14027","11976",149.9,1700,149.9,1,"Truc tuyen",3,"Wednesday","SP","Truc tuyen","OL_28"
"14028","10492",86.7,800,86.7,1,"Tai cua hang",4,"Saturday","DF","Vat ly","27"
"14029","16304",64.99,350,64.99,1,"Tai cua hang",3,"Sunday","DF","Vat ly","31"
"1403","14355",759.9,600,759.9,1,"Tai cua hang",1,"Sunday","DF","Vat ly","27"
"14030","18701",104.9,650,104.9,1,"Tai cua hang",4,"Friday","SP","Vat ly","7"
"14031","11176",54.9,800,54.9,1,"Truc tuyen",4,"Saturday","ES","Truc tuyen","OL_30"
"14032","14608",179.9,2200,179.9,1,"Tai cua hang",1,"Friday","SP","Vat ly","41"
"14033","12166",15.3,350,15.3,1,"Truc tuyen",1,"Tuesday","SP","Truc tuyen","OL_5"
"14034","2626",24.99,100,24.99,1,"Tai cua hang",3,"Saturday","SP","Vat ly","100"
"14035","20048",159.99,623,159.99,1,"Tai cua hang",4,"Wednesday","MG","Vat ly","20"
"14036","847",24.5,150,32.5,1,"Tai cua hang",1,"Saturday","BA","Vat ly","50"
"14037","10312",31.51,350,39.52,1,"Tai cua hang",2,"Saturday","SP","Vat ly","75"
"14038","17422",34.3,250,34.3,1,"Tai cua hang",4,"Saturday","DF","Vat ly","53"
"14039","13511",72.9,400,72.9,1,"Tai cua hang",4,"Sunday","DF","Vat ly","1"
"1404","13805",69.9,2600,69.9,1,"Tai cua hang",2,"Wednesday","SP","Vat ly","16"
"14040","16679",49,250,49,1,"Tai cua hang",3,"Saturday","SP","Vat ly","24"
"14041","1863",68.99,250,68.99,1,"Tai cua hang",4,"Sunday","SP","Vat ly","22"
"14042","4401",39.99,150,39.99,1,"Tai cua hang",2,"Sunday","MG","Vat ly","20"
"14043","19478",67,410,67,1,"Tai cua hang",3,"Monday","ES","Vat ly","45"
"14044","19953",54.9,850,54.9,1,"Tai cua hang",3,"Thursday","DF","Vat ly","31"
"14045","15998",49.95,1350,78,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_11"
"14046","7187",129.9,2550,129.9,1,"Tai cua hang",3,"Sunday","SP","Vat ly","2"
"14047","11474",22.9,500,22.9,1,"Truc tuyen",1,"Wednesday","RJ","Truc tuyen","OL_21"
"14048","19587",51.9,400,51.9,1,"Tai cua hang",3,"Sunday","SP","Vat ly","77"
"14049","15113",109.9,800,109.9,1,"Tai cua hang",4,"Thursday","RJ","Vat ly","8"
"1405","16561",129.9,513,129.9,1,"Tai cua hang",2,"Sunday","SP","Vat ly","55"
"14050","13805",69.9,2600,75,1,"Truc tuyen",4,"Sunday","SP","Truc tuyen","OL_29"
"14051","8984",259.99,343,259.99,1,"Tai cua hang",4,"Sunday","RJ","Vat ly","51"
"14052","8752",24.5,100,24.5,1,"Tai cua hang",4,"Friday","SP","Vat ly","64"
"14053","10830",69,5925,69,1,"Truc tuyen",3,"Friday","SP","Truc tuyen","OL_28"
"14054","18330",79.9,180,74.9,1,"Tai cua hang",1,"Sunday","BA","Vat ly","33"
"14055","13724",39.99,150,83.96,2,"Truc tuyen",3,"Saturday","SP","Truc tuyen","OL_28"
"14056","11658",79.98,7463,79.98,1,"Tai cua hang",2,"Friday","DF","Vat ly","1"
"14057","1309",16,50,16,1,"Tai cua hang",3,"Saturday","SP","Vat ly","64"
"14058","16869",199.9,2350,199.9,1,"Truc tuyen",1,"Monday","RJ","Truc tuyen","OL_21"
"14059","15955",23.9,400,23.9,1,"Tai cua hang",4,"Sunday","SP","Vat ly","80"
"1406","6267",12.9,350,12.9,1,"Tai cua hang",3,"Saturday","SP","Vat ly","38"
"14060","6560",79,2400,79,1,"Tai cua hang",3,"Sunday","SP","Vat ly","52"
"14061","14572",18,150,18,1,"Tai cua hang",3,"Saturday","MG","Vat ly","92"
"14062","15762",79.99,200,79.99,1,"Tai cua hang",3,"Sunday","DF","Vat ly","1"
"14063","3615",80,650,80,1,"Truc tuyen",2,"Saturday","RJ","Truc tuyen","OL_21"
"14064","11891",29.99,500,29.99,1,"Tai cua hang",1,"Thursday","RJ","Vat ly","39"
"14065","19005",34.9,450,34.9,1,"Truc tuyen",3,"Saturday","RJ","Truc tuyen","OL_21"
"14066","12642",148,850,148,1,"Tai cua hang",2,"Sunday","SP","Vat ly","18"
"14067","7120",141,450,141,1,"Tai cua hang",3,"Tuesday","SP","Vat ly","36"
"14067","77",48.99,1875,48.99,1,"Tai cua hang",3,"Tuesday","PA","Vat ly","23"
"14068","10545",184,450,184,1,"Tai cua hang",4,"Sunday","RJ","Vat ly","8"
"14069","6977",38,350,114,3,"Tai cua hang",3,"Saturday","RS","Vat ly","10"
"1407","12371",165,325,165,1,"Truc tuyen",4,"Saturday","PA","Truc tuyen","OL_2"
"14070","14228",28.95,200,59.8,2,"Tai cua hang",2,"Tuesday","SP","Vat ly","47"
"14071","17511",79,580,73,1,"Tai cua hang",2,"Wednesday","SP","Vat ly","19"
"14072","10382",149.9,800,149.9,1,"Tai cua hang",4,"Friday","SP","Vat ly","94"
"14073","17665",89,200,79,1,"Tai cua hang",2,"Sunday","RJ","Vat ly","63"
"14074","19901",11.55,175,11.55,1,"Tai cua hang",2,"Sunday","SP","Vat ly","58"
"14075","16138",34.9,150,34.9,1,"Tai cua hang",2,"Saturday","PR","Vat ly","28"
"14076","17241",84.9,1000,84.9,1,"Tai cua hang",1,"Saturday","RS","Vat ly","13"
"14077","16547",234,200,234,1,"Tai cua hang",2,"Saturday","SP","Vat ly","22"
"14078","3262",129.9,4400,129.9,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_28"
"14079","7023",219.9,450,219.9,1,"Tai cua hang",3,"Friday","SP","Vat ly","55"
"1408","9881",139.99,1150,139.99,1,"Tai cua hang",2,"Monday","BA","Vat ly","50"
"14080","4976",318.99,10400,318.99,1,"Truc tuyen",1,"Wednesday","RJ","Truc tuyen","OL_21"
"14081","5358",139.9,6850,279.8,2,"Truc tuyen",1,"Tuesday","SP","Truc tuyen","OL_27"
"14082","9205",56.89,434,56.89,1,"Tai cua hang",4,"Friday","SP","Vat ly","34"
"14083","4779",69,700,69,1,"Tai cua hang",3,"Saturday","RS","Vat ly","10"
"14084","1415",412,3000,412,1,"Tai cua hang",4,"Monday","SP","Vat ly","62"
"14085","8470",66.55,1050,66.55,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_28"
"14086","17126",109.89,2100,109.89,1,"Tai cua hang",4,"Sunday","MG","Vat ly","92"
"14087","9947",65,250,65,1,"Tai cua hang",2,"Sunday","SP","Vat ly","38"
"14088","15014",44.99,1567,44.99,1,"Truc tuyen",2,"Wednesday","SP","Truc tuyen","OL_28"
"14089","1827",149.87,517,222,1,"Tai cua hang",2,"Sunday","SC","Vat ly","57"
"1409","15352",135,950,130,1,"Tai cua hang",4,"Thursday","SP","Vat ly","58"
"14090","10306",79.9,1850,69,1,"Tai cua hang",4,"Friday","DF","Vat ly","27"
"14091","13741",49.99,450,49.99,1,"Tai cua hang",3,"Saturday","BA","Vat ly","50"
"14092","7137",129,9850,129,1,"Tai cua hang",1,"Monday","SP","Vat ly","82"
"14093","610",39.9,2800,39.9,1,"Truc tuyen",2,"Friday","SP","Truc tuyen","OL_28"
"14094","15089",23.9,1450,32.9,1,"Tai cua hang",1,"Monday","SP","Vat ly","60"
"14095","2402",39,100,39,1,"Tai cua hang",3,"Sunday","SP","Vat ly","6"
"14096","18044",49.9,7050,49.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","14"
"14097","8496",189.9,5900,189.9,1,"Truc tuyen",4,"Tuesday","SP","Truc tuyen","OL_28"
"14098","7474",69.9,800,69.9,1,"Tai cua hang",4,"Friday","BA","Vat ly","40"
"14099","3285",19.9,225,19.9,1,"Truc tuyen",3,"Sunday","RJ","Truc tuyen","OL_21"
"141","11988",362.45,1550,362.45,1,"Truc tuyen",2,"Wednesday","SP","Truc tuyen","OL_28"
"1410","8873",60,600,60,1,"Tai cua hang",2,"Friday","SP","Vat ly","43"
"14100","5382",49.9,450,49.9,1,"Tai cua hang",1,"Sunday","SP","Vat ly","6"
"14101","15323",125,11550,125,1,"Truc tuyen",2,"Wednesday","SP","Truc tuyen","OL_25"
"14102","859",158.2,5350,158.2,1,"Tai cua hang",2,"Sunday","SP","Vat ly","4"
"14103","13086",24.99,200,24.99,1,"Truc tuyen",4,"Sunday","MG","Truc tuyen","OL_3"
"14104","14031",75,1200,75,1,"Truc tuyen",2,"Friday","SP","Truc tuyen","OL_11"
"14105","15791",29.9,2900,29.9,1,"Tai cua hang",3,"Thursday","SP","Vat ly","94"
"14106","9116",34.5,1013,34.5,1,"Truc tuyen",1,"Tuesday","SP","Truc tuyen","OL_28"
"14107","642",10.5,100,10.8,1,"Truc tuyen",4,"Sunday","SP","Truc tuyen","OL_28"
"14108","557",59.99,750,59.99,1,"Tai cua hang",3,"Thursday","PA","Vat ly","23"
"14109","7461",194.9,4755,187.57,1,"Tai cua hang",2,"Friday","PE","Vat ly","42"
"1411","15015",44.9,400,44.9,1,"Tai cua hang",3,"Saturday","SP","Vat ly","46"
"14110","2547",19.9,200,19.9,1,"Tai cua hang",2,"Monday","SP","Vat ly","22"
"14111","12302",59.9,100,59.9,1,"Tai cua hang",4,"Sunday","SP","Vat ly","34"
"14112","6140",136.99,15475,146.99,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_23"
"14113","13",16,150,16,1,"Tai cua hang",2,"Saturday","SP","Vat ly","7"
"14114","16101",219,13250,219,1,"Truc tuyen",1,"Saturday","RS","Truc tuyen","OL_18"
"14115","14627",99,800,99,1,"Tai cua hang",4,"Sunday","SP","Vat ly","47"
"14116","4850",93.45,2850,186.9,2,"Tai cua hang",2,"Tuesday","CE","Vat ly","68"
"14116","9427",129.95,9950,129.95,1,"Tai cua hang",2,"Tuesday","PR","Vat ly","28"
"14117","15158",56.99,850,56.99,1,"Truc tuyen",4,"Saturday","MG","Truc tuyen","OL_3"
"14118","11269",48.9,804,48.9,1,"Tai cua hang",3,"Friday","MG","Vat ly","20"
"14119","6785",112.9,584,163,1,"Tai cua hang",3,"Saturday","SP","Vat ly","85"
"1412","10089",149.94,12650,159.94,1,"Tai cua hang",4,"Monday","SP","Vat ly","2"
"14120","5378",99,13200,99,1,"Truc tuyen",3,"Saturday","RJ","Truc tuyen","OL_21"
"14121","3045",169.97,100,169.97,1,"Tai cua hang",4,"Sunday","SP","Vat ly","5"
"14122","16686",79.9,1800,79.9,1,"Truc tuyen",2,"Monday","SP","Truc tuyen","OL_28"
"14123","20475",93.99,1255,93.99,1,"Truc tuyen",4,"Friday","PA","Truc tuyen","OL_2"
"14124","10127",13.65,200,13.65,1,"Tai cua hang",2,"Saturday","DF","Vat ly","31"
"14125","13060",79.9,400,79.9,1,"Tai cua hang",2,"Sunday","SP","Vat ly","25"
"14126","2911",27.99,275,55.98,2,"Tai cua hang",2,"Monday","RJ","Vat ly","51"
"14127","16690",104,11325,104,1,"Tai cua hang",1,"Wednesday","ES","Vat ly","45"
"14128","17848",13.3,350,13.3,1,"Tai cua hang",1,"Sunday","SP","Vat ly","22"
"14129","15290",180,175,180,1,"Tai cua hang",4,"Tuesday","RJ","Vat ly","29"
"1413","11258",99.99,6050,120,1,"Truc tuyen",1,"Tuesday","SP","Truc tuyen","OL_14"
"14130","12966",99,5750,109,1,"Tai cua hang",4,"Friday","RJ","Vat ly","51"
"14131","11945",43.8,1700,43.8,1,"Truc tuyen",2,"Friday","SP","Truc tuyen","OL_28"
"14132","7411",56.99,875,56.99,1,"Tai cua hang",4,"Friday","SP","Vat ly","46"
"14133","4097",48.91,5250,49.9,1,"Truc tuyen",2,"Wednesday","BA","Truc tuyen","OL_22"
"14134","9001",158,335,162.9,1,"Tai cua hang",4,"Monday","SP","Vat ly","38"
"14135","18842",10,150,10,1,"Tai cua hang",3,"Sunday","SP","Vat ly","18"
"14136","9794",54.49,3150,54.49,1,"Truc tuyen",3,"Wednesday","DF","Truc tuyen","OL_4"
"14137","2222",20.89,1650,20.89,1,"Truc tuyen",2,"Monday","BA","Truc tuyen","OL_22"
"14138","8633",116,450,116,1,"Tai cua hang",3,"Monday","MG","Vat ly","20"
"14139","10306",79.9,1850,99,1,"Truc tuyen",2,"Sunday","SP","Truc tuyen","OL_20"
"1414","20260",89.7,513,89.7,1,"Tai cua hang",3,"Thursday","SP","Vat ly","6"
"14140","2505",44.85,738,44.85,1,"Tai cua hang",2,"Tuesday","MG","Vat ly","15"
"14141","19902",13.65,150,13.65,1,"Truc tuyen",1,"Tuesday","MG","Truc tuyen","OL_3"
"14142","20416",60.5,750,60.5,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_28"
"14143","10638",49.99,150,49.99,1,"Tai cua hang",1,"Tuesday","RJ","Vat ly","51"
"14144","5771",55.9,100,55.9,1,"Tai cua hang",1,"Saturday","MG","Vat ly","92"
"14145","5404",124.9,200,147.9,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"14146","12211",56.99,350,56.99,1,"Tai cua hang",1,"Sunday","SP","Vat ly","32"
"14147","881",27.5,400,27.5,1,"Tai cua hang",2,"Sunday","SP","Vat ly","47"
"14148","10744",79.9,1100,79.9,1,"Tai cua hang",1,"Saturday","BA","Vat ly","33"
"14149","12677",28.9,450,28.9,1,"Tai cua hang",2,"Wednesday","SP","Vat ly","80"
"1415","6477",11.92,217,11.87,1,"Tai cua hang",3,"Saturday","SP","Vat ly","12"
"14150","2200",135,1600,135,1,"Tai cua hang",1,"Saturday","BA","Vat ly","40"
"14151","2101",122.99,700,119.99,1,"Tai cua hang",2,"Friday","DF","Vat ly","31"
"14152","7373",10.99,100,10.99,1,"Truc tuyen",1,"Saturday","RJ","Truc tuyen","OL_21"
"14153","16302",207.9,500,199.9,1,"Truc tuyen",1,"Sunday","RJ","Truc tuyen","OL_21"
"14154","18676",140.9,1143,140.9,1,"Tai cua hang",1,"Wednesday","SP","Vat ly","4"
"14155","8749",112.99,900,99.9,1,"Tai cua hang",2,"Tuesday","MG","Vat ly","84"
"14156","20198",67.91,1600,67.91,1,"Tai cua hang",1,"Thursday","SC","Vat ly","57"
"14157","4614",279.9,11950,279.9,1,"Truc tuyen",2,"Thursday","SP","Truc tuyen","OL_20"
"14158","12559",53.99,100,49.99,1,"Tai cua hang",3,"Monday","MG","Vat ly","81"
"14159","1727",23.99,100,23.99,1,"Truc tuyen",3,"Sunday","DF","Truc tuyen","OL_4"
"1416","20015",49.9,400,49.9,1,"Tai cua hang",1,"Sunday","PA","Vat ly","23"
"14160","5218",150,800,150,1,"Tai cua hang",4,"Sunday","SP","Vat ly","18"
"14161","3309",185,1150,185,1,"Truc tuyen",2,"Sunday","MG","Truc tuyen","OL_3"
"14162","9782",139.94,7667,279.88,2,"Tai cua hang",1,"Thursday","SP","Vat ly","43"
"14163","19430",24.9,225,24.9,1,"Tai cua hang",2,"Sunday","DF","Vat ly","49"
"14164","5164",66.99,350,61.99,1,"Tai cua hang",1,"Thursday","DF","Vat ly","31"
"14165","10766",39.9,150,39.9,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_28"
"14166","3936",120,16550,120,1,"Truc tuyen",1,"Saturday","SP","Truc tuyen","OL_20"
"14167","5997",29.99,800,59.98,2,"Truc tuyen",2,"Sunday","PR","Truc tuyen","OL_7"
"14168","15787",15.49,125,18.49,1,"Tai cua hang",3,"Tuesday","SP","Vat ly","75"
"14169","3120",24.99,400,24.99,1,"Tai cua hang",3,"Tuesday","SP","Vat ly","75"
"1417","5470",49.98,1110,49.98,1,"Truc tuyen",3,"Thursday","RS","Truc tuyen","OL_18"
"14170","9843",44.9,775,89.8,2,"Tai cua hang",1,"Saturday","SP","Vat ly","100"
"14171","1386",25.99,100,25.99,1,"Tai cua hang",2,"Saturday","SP","Vat ly","38"
"14172","575",311.95,7700,311.95,1,"Truc tuyen",1,"Tuesday","SP","Truc tuyen","OL_28"
"14173","10947",44.9,200,42.99,1,"Tai cua hang",2,"Saturday","SC","Vat ly","59"
"14174","4211",88,550,88,1,"Tai cua hang",1,"Saturday","RJ","Vat ly","8"
"14175","1061",10.9,100,21.8,2,"Truc tuyen",2,"Saturday","RJ","Truc tuyen","OL_21"
"14176","17233",20.3,4600,20.3,1,"Truc tuyen",1,"Saturday","SP","Truc tuyen","OL_28"
"14177","20409",84.99,150,84.99,1,"Tai cua hang",2,"Monday","SP","Vat ly","77"
"14178","4147",6.9,500,27.6,4,"Tai cua hang",4,"Sunday","PE","Vat ly","42"
"14179","15758",99,5950,120,1,"Truc tuyen",1,"Saturday","RJ","Truc tuyen","OL_21"
"1418","18589",279,1700,279,1,"Tai cua hang",2,"Wednesday","RJ","Vat ly","8"
"14180","9813",99.9,2500,70,1,"Tai cua hang",3,"Wednesday","SP","Vat ly","17"
"14181","13754",40,1250,40,1,"Truc tuyen",2,"Saturday","SP","Truc tuyen","OL_28"
"14182","14155",899.9,13300,899.9,1,"Tai cua hang",3,"Friday","SP","Vat ly","14"
"14183","4151",89.99,1200,89.99,1,"Tai cua hang",2,"Thursday","SP","Vat ly","58"
"14184","4322",11.7,2300,46.8,4,"Tai cua hang",2,"Friday","SP","Vat ly","100"
"14185","18358",148,125,128.99,1,"Truc tuyen",3,"Sunday","RJ","Truc tuyen","OL_21"
"14185","8211",87.8,173,65.9,1,"Truc tuyen",3,"Sunday","RJ","Truc tuyen","OL_21"
"14186","14389",27.93,1300,27.93,1,"Tai cua hang",1,"Tuesday","GO","Vat ly","26"
"14187","10522",39.9,1300,39.9,1,"Tai cua hang",2,"Thursday","SP","Vat ly","55"
"14188","15259",112.99,4400,112.99,1,"Truc tuyen",2,"Friday","SP","Truc tuyen","OL_28"
"14189","17971",314,500,339,1,"Tai cua hang",1,"Monday","RJ","Vat ly","70"
"1419","20038",219,1500,229,1,"Tai cua hang",4,"Wednesday","DF","Vat ly","1"
"14190","11845",97.9,1250,97.9,1,"Tai cua hang",1,"Monday","SP","Vat ly","22"
"14191","14265",69.9,5200,69.9,1,"Tai cua hang",1,"Friday","SP","Vat ly","12"
"14192","2584",59.99,1600,59.99,1,"Tai cua hang",2,"Sunday","SP","Vat ly","66"
"14193","3727",519.99,400,519.99,1,"Tai cua hang",1,"Monday","SP","Vat ly","62"
"14194","847",24.5,150,24.5,1,"Tai cua hang",4,"Saturday","BA","Vat ly","50"
"14195","10970",389,7900,389,1,"Truc tuyen",1,"Tuesday","MG","Truc tuyen","OL_12"
"14196","13941",79.9,250,79.9,1,"Tai cua hang",2,"Sunday","SP","Vat ly","14"
"14197","1372",19.9,200,19.9,1,"Tai cua hang",1,"Thursday","SP","Vat ly","32"
"14198","13117",28.9,200,27.9,1,"Tai cua hang",2,"Monday","SP","Vat ly","43"
